Name,Price,Cost,Quantity,Category,Expiration Date
Orange Juice,3,2.8,15,Beverage,2023-09-07
Mango,0.8,0.75,422,Fruit,2023-09-25
Portable Camping Chair,30,28,8,Outdoor,
Cantaloupe,0.7,0.65,618,Fruit,2023-10-01
Portable Charger,30,28,25,Electronics,
Running Socks,15,14,10,Clothing,
Skim Milk,0.8,0.75,100,Milk,2023-06-02
Kiwi,0.6,0.55,418,Fruit,2023-09-05
Guava,0.9,0.85,216,Fruit,2023-07-12
Resistance Band Set,40,37,10,Fitness,
Wireless Bluetooth Earbuds,70,65,10,Electronics,
Iced Tea,2.5,2.3,16,Beverage,2023-06-26
Jump Rope,15,14,20,Fitness,
Fitness Tracker,120,110,6,Electronics,
Honeydew,0.9,0.85,515,Fruit,2023-12-15
Cherry,0.4,0.35,1430,Fruit,2023-10-26
Hiking Backpack,100,92,9,Outdoor,
Cookware Set,150,138,6,Home & Kitchen,
Novel,15,14,30,Books,
Watermelon,2,1.85,312,Fruit,2023-07-22
Avocado,1.5,1.4,249,Fruit,2023-05-12
Travel Backpack,80,74,15,Accessories,
Resistance Loop Bands,20,18.5,15,Fitness,
Yoga Pants,50,46,10,Clothing,
Picnic Basket,60,55,6,Outdoor,
Portable Camping Grill,70,65,8,Outdoor,
Workout Gloves,25,23,12,Fitness,
Gaming Console,300,280,5,Electronics,
Sunscreen,10,9.3,50,Personal Care,
Lamb,4.1,3.8,220,Meat,2023-05-16
Iced Coffee,3,2.8,15,Beverage,2023-10-17
VR Headset,300,280,4,Electronics,
Sleeping Bag,70,65,6,Outdoor,
Camping Lantern,30,28,10,Outdoor,
Waterproof Phone Case,20,18.5,12,Accessories,
Coffee,2.5,2.3,720,Beverage,2023-05-01
Almond Milk,1.5,1.4,80,Milk,2023-06-26
Peach,0.8,0.75,213,Fruit,2023-10-14
Tea,1.5,1.4,25,Beverage,2023-05-30
Duck Eggs,0.8,0.75,210,Eggs,2023-05-08
Gaming Mouse,60,55,12,Electronics,
Handheld Game Console,200,185,7,Electronics,
Soda,1,0.95,30,Beverage,2023-05-12
Smartphone Gimbal,150,140,10,Electronics,
Ski Gloves,40,37,12,Sports,
Action Camera,200,185,8,Electronics,
